Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages;Id;MaxParCible;Cooldown;wpCostAB;iconId;AreaAB
Martel'heure;;3;0;0;eau;zone;1-4;oui;Inflige des dommages et retire des PA à la cible.;Dommage : 83 -1 PA À chaque lancer du sort : - Répète ses effets sur les cibles précédentes;3;3;83;104;4;749;2;0;0;749;monocible
Ralentissement;;1;0;0;eau;monocible;1-3;oui;Ce sort très peu coûteux augmente la Volonté du Xélor pendant un tour (capacité de résistance ainsi que de retrait) : ce sort est d'autant plus astucieux que le Xélor tente dans un second temps de retirer des PA à la cible.;Dommage : 35 15 Volonté -2 PA;1;1;35;44;3;775;2;0;1;775;monocible
Horloge;;5;0;0;eau;monocible;1-3;oui;Applique un état de dommages indirects. Lorsque le Xélor regagne 12 Points de Wakfu dans un combat, le prochain sort Horloge est deux fois plus puissant.;Dommage : 182 en fin de tour de la cible Tous les 12 PW regagnés : - Les effets du sort sont doublés;6;7;182;228;2;763;1;0;0;763;monocible
Sablier;;3;0;0;eau;zone;1-2;oui;Applique un état de dommages indirects. Au début du tour de la cible du sort, le Xélor inflige des dommages en zone sur la position de la cible.;Sablier Au début du tour du porteur de l'état : - Dommage : 121;4;5;121;152;4;783;1;0;0;783;monocible
Désynchronisation;;4;0;0;eau;zone;3-6;oui;Retire des PA dans une zone, tout en infligeant des dommages eau. Lancé sur le cadran, l'heure courante avance de six heures.;Dommage : 102 -3 PA Lancé sur le Cadran (1 fois par tour) : - L'heure courante avance de 6 - regagne 2 PA;4;5;102;127;2;1417;0;0;0;1417;zone
Pointe-heure;;2;0;0;air;monocible;2-4;oui;La cible est téléportée deux cases en arrière. Le sort n'est plus restreint à un lancer en ligne, en diagonale la cible est téléportée 1 case plus loin en diagonale.;Dommage : 60 Téléporte la cible 2 cases plus loin (1 case en diagonale) Échange de position si la case est occupée - regagne 1 PA en cas d'échange;2;2;60;76;2;767;1;0;0;767;monocible
Tempus fugit;;3;0;0;air;monocible;1-4;oui;La cible du sort est téléportée sur la case heure courante du cadran.;Dommage : 76 La cible est téléportée sur l'heure courante (4 cases max);3;3;76;95;3;765;2;0;0;765;monocible
Paradoxe;;4;0;0;air;zone;1-3;oui;Téléporte symétriquement les cibles dans la zone du sort, par rapport à la case ciblée. Un échange de position entre les cibles se produit si elles sont opposées symétriquement.;Téléporte symétriquement les cibles dans la zone par rapport au centre (Échange les positions si nécessaire) Dommage : 102;4;5;102;127;2;1418;1;0;0;1418;zone
Symétrie;;3;0;0;air;monocible;1-3;oui;Ce sort permet au Xélor de se téléporter en symétrie par rapport à sa cible ou inversement selon l'heure courante. Si la case d'arrivée est occupée par un obstacle, alors le combattant échange de position avec celui-ci.;Téléporte en symétrie par rapport à la cible Dommage : 76 Si l'heure courante est impaire : - Téléporte en symétrie par rapport au Xélor;3;3;76;95;3;772;1;0;0;772;monocible
Retour spontané;;3;0;0;air;monocible;1-3;oui;Ce sort annule le dernier mouvement ayant eu lieu pendant le tour du Xélor. Qu'il s'agisse d'une poussée, attirance, téléportation ou échange de position, la dernière cible à avoir été déplacée retourne à sa position précédente.;Dommage : 98 Le dernier mouvement hors déplacement avec les PM ayant eu lieu dans le tour du Xélor est annulé;3;3;98;123;3;771;2;0;0;771;monocible
Perturbation;;3;0;0;feu;zone;2-3;oui;Inflige des dommages de zone sur 5 cases devant le Xélor.;Dommage : 83 Si l'heure courante est impaire : - Dommage : 83 à la place;3;3;83;104;3;750;0;0;0;750;monocible
Suspension;;4;0;0;feu;monocible;3-4;oui;Ce sort stabilise le Xélor jusqu'à la fin de son tour tout en infligeant des dommages feu. Lancé sur le cadran, l'heure courante est bloquée et n'avance plus jusqu'à la fin du tour.;Stabilisé jusqu'à la fin du tour courant Dommage : 131 Lancé sur le Cadran : - L'heure courante n'avance plus pendant 1 tour - regagne 2 PA;4;5;131;164;2;751;0;0;0;7156;monocible
Éclair obscur;;5;0;0;feu;monocible;3-4;oui;Inflige des dommages Feu sur la cible du sort. Puis, un rebond est effectué : des dommages sont infligés à un autre ennemi présent à proximité de la cible du sort.;Dommage : 97 Rebondit sur un ennemi (1 à 2 cases) - Rebond : Dommage : 181;3;4;97;122;3;752;2;0;0;752;monocible
Aiguille;;4;0;0;feu;monocible;2-4;oui;Inflige des dommages feu à distance. Le sort consomme jusqu'à 4 PA mais peut être lancé avec 1, 2 ou 3 PA restants : les dommages sont toujours les mêmes. Si ce sort tue un combattant, le Xélor regagne le nombre de PA utilisés.;Dommage : 111 Consomme jusqu'à 4 PA (lançable dès 1 PA, mêmes dommages) Si ce sort tue un combattant, regagne les PA utilisés;4;5;111;139;2;754;0;0;0;754;monocible
Poussière;;3;0;0;feu;monocible;3-5;oui;À chaque utilisation ce sort augmente sa portée minimale et sa portée maximale de lancer. Ce sort ne nécessite pas de ligne de vue : il peut donc être lancé au travers de n'importe quel obstacle pour infliger des dommages élevés.;Dommage : 105 À chaque lancer du sort, la portée minimale et la portée maximale augmentent de 2;3;3;105;132;;753;2;0;0;753;monocible
