Nom;Niveau de deblocage;Effets
Cocktail;;Sa maîtrise dans la confection de Cocktails permet au Pandawa d'améliorer ses soins en contre-partie de ses dégâts. Les sorts Souffle Enflammé et Tekilait soignent désormais les alliés. 20 % Soins réalisés -10 % Dommages infligés Souffle Enflammé : - N'inflige plus de Dommages aux . - Soin : 50 % des Dommages de base sur . Tekilait lancé sur : - Soigne : 80 % du soin sur
Maître de l'Ivresse;;Maître de son Ivresse, le Pandawa gagne des bonus temporaires à chaque changement d'état. Il régénère son Wakfu et ses points de vie en consommant Imbibé sur des cibles grâce aux sorts prévus à cet effet. Au passage Ivre : - 2 PA (tour en cours) Au passage Gueule de Bois : - 2 PM (tour en cours) Tous les 15 niveaux de Imbibé consommés d'un coup : - 1 PW - Soin : 5 % des PV max du lanceur
Tonneau sans Fond;;Tonneau sans Fond augmente la contenance du Tonneau. Instinctivement, le Pandawa porte son Tonneau en fin de tour et se soigne en buvant quelques litres. Augmente les Litres du Tonneau de 50 % En fin de tour, si le Pandawa est face au : - Porte le En fin de tour, si le Pandawa porte son : - Soin : 12 % des PV manquants de la cible
Tonneau Agressif;;Ce passif peut réduire le coût en PA du sort Chamrak lorsque le Tonneau est porté. 10 % Dommages infligés si le Pandawa porte son Chamrak en portant : - Réduit le coût en PA du sort de 1
Instinct Laiteux;;Chaque fois qu'il consomme de l'Imbibé sur sa cible, le Pandawa gagne des dégâts pour son prochain sort. De plus, ce passif permet d'imbiber les cibles autour du Tonneau à chaque début de tour du Pandawa. Si le Pandawa consomme Imbibé, pour chaque niveau consommé : - Préparation Niv. 3 Au début du tour du Pandawa : - Imbibé (Niv. 8) autour du Au passage Sobre : - Augmente la régénération à 2 PW
Bambouteille;;Le Pandawa profite de bonus qui augmentent son Esquive ou son Tacle selon qu'il est Ivre ou qu'il a la Gueule de Bois. Le passif réduit également le coût du sort Ether. Lorsque le Pandawa a Gueule de Bois : - 175 % du niveau en Tacle -80 % du niveau en Esquive Lorsque le Pandawa est Ivre : - 175 % du niveau en Esquive -80 % du niveau en Tacle Ether : - Le sort ne coûte plus que 1 PW
Cyanose;;Grâce à ses connaissances sur les laits de Bambou, le Pandawa peut empoisonner ses ennemis à l'aide d'une recette ancestrale dont seuls les vrais Pandawas ont le secret. En prenant de tels risques, le Pandawa perd la faculté à soigner efficacement ses alliés. 15 % Dommages infligés -50 Résistance élémentaire Vague de Lait : - Désactive le soin sur les Imbibé : - L'état applique désormais Cyanose aux
Buvette;;Ce soir, c'est la fête, tous à la buvette ! En début de tour du Pandawa, tous les alliés présents autour du Tonneau gagnent des Dégâts Finaux. Au début du tour du Pandawa : - 20 % Dommages infligés autour du
Pandémie;;Un Pandawa sachant porter son Tonneau est un bon Pandawa. C'est pourquoi, avec ce passif, il gagne en robustesse quand il porte son Tonneau. -10 % Dommages infligés 30 % du niveau en Résistance Élémentaire quand le Pandawa porte Lorsque le Pandawa porte son : - 20 % des Dommages reçus sont redirigés vers le
Éméché;;Ce passif augmente la capacité à imbiber du Pandawa, pour bénéficier de meilleurs effets de préparation. Avec un tel passif, la fête sera très humide ! Imbibé peut être appliqué au niveau 30 maximum Triple Karma Leet pousse de 4 cases
