Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Réfraction Élémentaire;;L'Huppermage sacrifie une partie de la puissance du Coeur de Lumière pour pouvoir le lancer plusieurs fois dans le même tour. Cœur de Lumière peut être lancé 4 fois par tour Le bonus de maîtrise élémentaire sous Cœur de Lumière est perdu;5588;5588;
Combinaison Élémentaire;;L'Huppermage augmente la capacité de ses sorts Lumière en créant des combinaisons élémentaires. Si génère une Rune némésis à la dernière rune générée : - Abondance (+15 Niv.) Abondance est limité à 60 niveaux;7800;5348;
Initiative de l'âme;;L'Huppermage gagne 2 PA pour le tour en cours si le premier sort qu'il lance est Coeur de Lumière. Si Cœur de Lumière est le premier sort lancé dans le tour : 2 PA Les maîtrises élémentaires autres que celle du Cœur de Lumière sont fixées à 0;5580;5132;
Sauvegarde Runique;;L'Huppermage peut sauvegarder 3 Runes sur son Feu Follet à condition de posséder exactement 1 Rune. En échange, Feu Follet ne peut être utilisé qu'une seule fois par tour. Si possède exactement 1 Rune : - Sauvegarde les 3 autres Runes sur le Feu Follet en l'invoquant Feu Follet passe à 1 utilisation par tour;5584;4300;
Pulsation;;Le Feu Follet attire les combattants lorsqu'il est posé, et les repousse lorsqu'il est consommé. Lorsque invoque le Feu-Follet : - Attire de 2 cases les cibles alignées à 5 cases autour Lorsque récupère le Feu-Follet : - Repousse de 2 cases les cibles alignées à 5 cases autour;7801;7191;
Essor de l'âme;;L'Huppermage utilise le Coeur de Lumière pour gagner des résistances dans les autres éléments. Sous Cœur de Lumière : - -100 Résistance dans l'élément du Coeur de Lumière - 100 Résistance dans les autres éléments - La maîtrise élémentaire est augmentée de 10 % (au lieu de 20);7803;5454;
Nouveau souffle;;L'Huppermage a un meilleur contrôle de son Feu Follet. En contrepartie, il ne peut en poser qu'un seul à la fois. Augmente de 3 la portée du sort Feu-follet Au lancement du sort, si un Feu-Follet est déjà sur le terrain : - Déplace le Feu Follet 1 Feu-Follet maximum;7805;5582;
Altruisme de l'âme;;L'Huppermage sacrifie les dommages octroyés par Coeur de Lumière pour gagner des soins réalisés. Ce passif lui permet également de regagner de la Brise Quadramentale à chaque fois qu'il soigne un allié. En Cœur de Lumière : - 15 % Soins réalisés supplémentaires - Le bonus de Dommages infligés est perdu - En soignant un allié : +20 BQ par PA du sort;7804;5455;
Extension des sens;;L'Huppermage peut régénérer de la BQ sous Coeur de Lumière en respectant certaines conditions, mais le Coeur dure plus longtemps. Sous Cœur de Lumière, l'Huppermage possède une régénération de BQ active, dépendante de l'élément : - Régénération incandescente - Régénération aquatique - Régénération tellurique - Régénération aérienne Cœur de Lumière dure 2 tours;7797;5584;
Absorption Quadramentale;;L'Huppermage gagne de la Volonté pour entraver ses adversaires. Il génère de la BQ à chaque retrait (PA, PM, Portée) effectué. 20 Volonté Lorsque effectue un retrait (PA, PM, PO) : - 20 Brise Quadramentale -10 % Dommages infligés par les sorts;5587;7193;{"WILLPOWER":20}
Profusion Runique;;En fin de tour, l'Huppermage augmente la capacité de ses sorts Lumière pour le tour suivant selon le nombre de Runes qu'il possède. En fin de tour : - Abondance (+15 Niv.) par Rune possédée Les gains de BQ sont diminués de 20 %;5586;5586;
Dynamo;;Les runes de l'Huppermage sont éphémères et disparaissent en fin de tour, lui permettant de gérer ses runes différemment. Les Runes disparaissent en fin de tour;5579;5579;
Universalité;;Les connaissances de l'Huppermage lui permettent de convertir ses Runes en bonus à la fin du tour, en échange d'une partie de sa Brise Quadramentale. Les Runes possédées en fin de tour offrent un bonus : : 15 % Dommages infligés (1 tour) : 15 % Soins réalisés (1 tour) : 75 Résistance élémentaire (1 tour) : 2 Portée (1 tour) -50 BQ par rune possédée;5583;5583;
Plénitude;;D'une sereine efficacité, c'est en canalysant le pouvoir des éléments pour le relâcher sous forme de lumière, que vous créez des sorts aux effets éblouissants. En consommant un Feu-Follet : - Ne récupère pas de Rune - Abondance (+25 Niveaux);5585;5585;
Liaison Lumineuse;;L'Huppermage échange de position avec son Feu Follet lorsqu'il l'invoque. Lorsque invoque un Feu-Follet : - Échange de position avec;5582;7107;
Distension Élémentaire;;Les sorts élémentaires gagnent 2 de Portée lorsque le Coeur du même élément est actif. Lorsque est sous Cœur de Lumière : - Les sorts liés au Coeur gagnent 2 de Portée;5581;5347;
Antithèse;;L'Huppermage régénère de la BQ lorsqu'il génère des Runes. En contrepartie, les sorts élémentaires infligent moins de dommages. À chaque génération de Rune : - +20 BQ -10 % Dommages infligés sur les sorts;7802;5581;
Transcendance Runique;;L'Huppermage double sa régénération de BQ lorsqu'il possède toutes ses Runes. Autrement, sa régénération est réduite de moitié. Si a ses 4 Runes : - Les gains de BQ sont doublés Sinon : - Les gains de BQ sont réduits de moitié;7798;5587;
