Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages;Id;MaxParCible;Cooldown;wpCostAB;iconId;AreaAB
Flux d'énergie;;2;0;0;feu;zone;1-4;oui;Il s'agit d'un des sorts propres à l'Huppermage. Il inflige des dommages aux ennemis et peut leur appliquer un malus de Parade s'il porte la bonne rune. Les alliés peuvent gagner des Coups critiques.;Dommage : 65 : -10 % Parade : 10 % Coup critique : La zone devient;2;2;65;81;3;5562;0;0;0;5562;monocible
Disque luminescent;;2;0;0;feu;monocible;1-5;oui;Il s'agit d'un sort propre à l'Huppermage. D'un revers de la main, L'Huppermage envoie un disque sur la cible pour lui infliger des dommages. S'il possède exactement 3 runes à ce moment-là, la cible subira des dommages supplémentaires de dos pendant 1 tour.;Dommage : 60 Si a exactement 3 runes : - La cible subit 10 % de dommages supplémentaire dans le dos (1 tour) - Consomme toutes les runes;2;2;60;76;3;5571;2;0;0;5571;monocible
Résonance;;4;0;0;feu;zone;1-3;oui;Il s'agit d'un des sorts propres à l'Huppermage. Il tend la main et une onde de choc se propage en cône devant lui. Des effets supplémentaires sont joués selon les runes possédées par l'Huppermage.;Dommage : 121 : La zone devient : Le sort coûte 1 PA de moins : Les dommages passent sous l'Armure : Le sort ne possède plus de ligne de vue Le sort coûte 25 BQ supplémentaires par rune possédée;4;5;121;152;3;5561;0;0;0;5561;monocible
Lueur de l'aube;;2;0;0;feu;monocible;1-4;oui;Il s'agit d'un des sorts propres à l'Huppermage. Il crée une boule de feu mineure et l'envoie sur la cible, qui subira des dommages supplémentaires dans l'élément de la dernière rune générée.;Dommage : 65 Si a : À la fin du tour du : - La cible subit 10 % de dommages supplémentaire dans l'élément de la dernière rune générée (1 tour) - Consomme;2;2;65;82;4;5563;2;0;0;5563;monocible
Rayon crépusculaire;;4;0;0;feu;monocible;1-5;oui;Il s'agit d'un des sorts propres à l'Huppermage. Le Rayon Crépusculaire inflige des dommages Lumière de manière souple. Si l'Huppermage possède une Rune Feu, les dommages dépendront de sa jauge de BQ restante.;Dommage : 131 Si a : - 0.5% Dommages supplémentaires par %BQ restante - Consomme;4;5;131;164;;5591;2;0;0;5591;monocible
Averse;;2;0;0;eau;zone;1-5;oui;Il s'agit du sort « Goutte » qu'il a emprunté à la classe Féca. L'Huppermage crée une bulle d'eau, la soulève et l'envoie sur sa cible pour la soigner si c'est un allié et lui infliger des dommages si c'est un ennemi.;Dommage : 55 Soin : 30 À chaque lancer du sort : - Répète ses effets sur les cibles précédentes;2;2;55;69;4;5564;2;0;0;5564;monocible
Débâcle;;2;0;0;eau;monocible;1-3;oui;Il s'agit du sort « Epuration » qu'il a emprunté à la classe Enutrof. L'Huppermage matérialise une pelle qui tombe sur la cible et inflige des dommages aux ennemis. SI l'Huppermage possède la rune eau, la cible devient transparente pendant 1 tour : elle ne bloque plus les lignes de vue.;Dommage : 70 Soin : 38 Si a : - Transparent (Niv. 1) - Consomme;2;2;70;88;2;5565;0;0;0;5565;monocible
Flèche de lumière;;6;0;0;eau;zone;2-5;oui;Il s'agit du sort « Flèche Destructrice » qu'il a emprunté à la classe Crâ. L'Huppermage brandit une flèche de lumière majestueuse, qu'il envoie percuter sa cible de plein fouet. Le sort possède des effets supplémentaires selon la dernière Rune générée.;Dommage : 317 Effet supplémentaire selon la dernière rune générée : : La zone d'effet devient (3) : Le sort coûte 1 PA de moins : -3 652 Armure avant d'infliger les dommages : Le sort n'a plus de restriction de lancer en ligne;9;11;317;394;1;5594;0;2;0;5594;monocible
Vestige;;2;0;0;eau;zone;2-4;oui;Il s'agit du sort « Horloge » qu'il a emprunté à la classe Xélor. L'Huppermage invoque une Horloge au-dessus de la cible, qui la foudroie. Les ennemis dans la zone perdent des dommages infligés, tandis que les alliés en gagnent.;Dommage : 70 Soin : 38 : 10 % Dommages infligés (1 tour) : -10 % Dommages infligés (1 tour) : La zone passe en (1) Doit cibler un combattant ou un Feu-Follet;2;2;70;88;2;5566;0;0;0;5566;zone
Larmes scintillantes;;3;0;0;eau;monocible;1-4;oui;Il s'agit du sort « Larme du Sadida » qu'il a emprunté à la classe Sadida. Une énorme larme de lumière tombe sur la cible pour lui infliger des dommages si c'est un ennemi et la soigner si c'est un allié. Si l'Huppermage possède une Rune Eau, il se soigne en même temps.;Dommage : 98 Soin : 53 Si a : - Soin : 53 - Consomme;3;3;98;123;3;5593;2;0;0;5593;monocible
Éboulement;;2;0;0;terre;monocible;1-3;oui;Il s'agit du sort « Roknocerok » qu'il a emprunté à la classe Iop. D'un geste rapide, l'Huppermage invoque des cailloux qui tombent sur la cible et lui infligent des dommages. La cible subira également des retraits selon les runes possédées par l'Huppermage.;Dommage : 65 : Double la valeur des retraits : -1 PA : -1 PM;2;2;65;82;3;5567;2;0;0;5567;monocible
